bolav-templates;45
giza2-templates-startsiden-admin-nynorsk;73
giza2-templates-startsiden-admin-multilang;264
giza2-templates-startsiden-nynorsk;805
giza;726
Kaffeleveranse;475
Nimi;54
Startsiden-Silo-Parser;37
abc-adloader;493
abc-click-tagging-debugger;10
abc-ga-client;11
abc-rum;11
abcnyheter-api-mocks;23
abcnyheter-api-mydesk;50
abcnyheter-api-newsarticles;709
abcnyheter-api-newsdesk;87
abcnyheter-api-video;151
abcnyheter-app;663
abcnyheter-automated-tests;324
abcnyheter-core;306
abcnyheter-lib;767
abcnyheter-modules;2538
abcnyheter-overblikk;6
abcnyheter-prototyping;398
abcnyheter-theme-abcnyheter;1188
abcnyheter-theme-dumbphone;40
abcnyheter-theme-mobilewebkit;150
abcnyheter-utils;107
auto-builder;517
auto-releaser;73
avspark-db;3
avspark-front;28
avspark;11
beta-katalog;5022
bit-compare;7
bmenu-templates-mstartsiden-bokmaal;96
bolav-templates;45
build-debian;1720
builder-smoker;23
builder-vagrant;20
catalyst-controller-bookmarks-api;12
catalyst-controller-javascript-test;30
catalyst-model-net-search;30
catalystx-cli;9
catalystx-oauth2-provider;28
cellbazaar-puppet;227
clicktale-templates;4
cmdb-tools;8
cmdb;52
competency-map;57
copyright;29
criteo;5
css-lint;115
data-collectors;198
data-server;15
data-store;8
datetime-format-startsiden;12
device-detect;17
diem;8
dockerfiles;36
emediate-gtm;6
emediate-health-check;2
emediate-loader;63
filemanager;4
football-selenium-testsuite;8
fotball-developer-setup;81
fotball-local-lib;55
framtida;491
frontpage-vagrant;104
geoip-map;4
getstartsiden;5
git-testcase;34
github-download-repo;5
github-jira-plugin;88
giza2-templates-startsiden-admin-multilang;264
giza2-templates-startsiden-admin-nynorsk;73
giza2-templates-startsiden-base;67
giza2-templates-startsiden-bokmaal;209
giza2-templates-startsiden-front-bokmaal;1173
giza2-templates-startsiden-front-nynorsk;327
giza2-templates-startsiden-nettspill;54
giza2-templates-startsiden-nynorsk;805
giza2-templates-tools;13
giza-catalyst;296
giza-rdf;84
giza-schema;484
giza-template-function-startsiden-admin;34
giza-template-function;22
giza;726
gonzo-web;9066
googoal;374
hackathon-20141028-mobile;48
hackathon-blackmail;25
hackatron;99
katalog-search;127
konsepthuset;4
levende-bilder;210
liftoff;20
lokalaviser;20
marvin;595
mediahouse-automated-tests;677
mediamaker-client;11
meetv-admin;413
meetv-android;679
meetv-backend;1289
meetv-banner;11
meetv-chat-mobile;382
meetv-chat-server;530
meetv-common;287
meetv-corporate-website;86
meetv-data;60
meetv-firefoxos;246
meetv-help-schema;83
meetv-help-site;128
meetv-ios;2240
meetv-local-lib;184
meetv-misc;181
meetv-seo-server;166
meetv-seo;585
meetv-static;61
meetv-tools;129
meetv-tvguiden-android;256
meetv-web5;1252
meetv-ws-client;198
meetv-ws;370
mobile-backend;97
module-install-debian;21
module-install-minifier;5
module-install-novus;17
nagios-notify-rabbitmq;7
navigation-batmin;501
navigation-puppet;13
navigation-selenium-testsuite;163
net-search-1881;44
net-search-bing;49
net-search-dinpris;11
net-search-fast;56
net-search-genus;7
net-search-google;76
net-search-json;215
net-search-katalog;7
net-search-kelkoo;19
net-search-loadbalancer;21
net-search-metadata-catalogcategory;29
net-search-overture;27
net-search-picsearch;37
net-search-rss;17
net-search-soap;529
net-search-test;529
net-search-xapian;61
net-search-xml;41
net-search-yahoo-idp;16
net-search;212
net-sms-mobiletech;10
net-sms-vianett;11
nettguide-api;2
nettguide-distribution-module;5
nettguide-vagrant;8
